filename,cdrift_rise,cdrift_set,cdrift_av
000004012_0010r17,3.502127167,2.990708266,3.246417716
000004292_0058r17,6.002127167,10.49070827,8.246417716
000004324_0084r17,11.00212717,9.490708266,10.24641772
000004831_0082r17,17.50212717,12.49070827,14.99641772
000004940_0141r17,14.00212717,11.49070827,12.74641772
000005195_0019r17,10.50212717,9.490708266,9.996417716
000006268_0052r17,3.002127167,4.490708266,3.746417716
000006326_0054r17,7.002127167,10.49070827,8.746417716
000006661_0111r17,8.002127167,5.990708266,6.996417716
000029809_0184r17,6.502127167,8.990708266,7.746417716
000032159_0107c17,0.002127167,-2.009291734,-1.003582284
000032204_0168c17,1.002127167,5.990708266,3.496417716
000046279_0118c17,6.002127167,10.99070827,8.496417716
000046311_0083c17,6.002127167,8.990708266,7.496417716
000046408_0129c17,12.00212717,7.990708266,9.996417716
000046514_0028c17,-0.997872833,-0.009291734,-0.503582284
000046645_0076c17,7.002127167,3.490708266,5.246417716
000047953_0153c17,9.502127167,10.49070827,9.996417716
000048431_0173c17,0.002127167,1.490708266,0.746417716
000048840_0094c17,-2.497872833,1.990708266,-0.253582284
000049842_0104c17,4.502127167,1.990708266,3.246417716
000050171_0013c17,2.002127167,4.990708266,3.496417716
000050416_0158c17,9.002127167,5.990708266,7.496417716
000050625_0112c17,11.50212717,7.490708266,9.496417716
000051053_0174c17,9.002127167,9.490708266,9.246417716
000051069_0167c17,7.502127167,6.490708266,6.996417716
000062029_0064c17,0.002127167,1.490708266,0.746417716
000062155_0031c17,12.00212717,7.990708266,9.996417716
000062335_0190c17,8.502127167,5.990708266,7.246417716
000062853_0143r17,10.50212717,10.49070827,10.49641772
000063012_0095r17,1.502127167,7.490708266,4.496417716
000063108_0022r17,12.00212717,12.49070827,12.24641772
000063363_0079r17,7.002127167,6.990708266,6.996417716
000063378_0021r17,7.002127167,10.49070827,8.746417716
000069757_0115c17,6.002127167,3.490708266,4.746417716
000069785_0108c17,4.002127167,7.490708266,5.746417716
000069936_0131c17,8.002127167,7.990708266,7.996417716
000070164_0029c17,9.502127167,8.490708266,8.996417716
000070213_0018c17,10.00212717,5.490708266,7.746417716
000070449_0056c17,6.502127167,1.990708266,4.246417716
000071053_0136c17,4.502127167,5.490708266,4.996417716
000071164_0119c17,7.002127167,10.49070827,8.746417716
000071373_0183c17,5.002127167,0.990708266,2.996417716
000071475_0179c17,6.002127167,7.490708266,6.746417716
000071816_0077c17,11.26879383,12.25737493,11.76308438
000071817_0059c17,6.002127167,3.990708266,4.996417716
000072291_0150r17,7.502127167,3.990708266,5.746417716
007056628_0197c17,9.002127167,13.49070827,11.24641772
007531853_0057c17,8.502127167,11.99070827,10.24641772
007554608_0187c17,15.00212717,13.99070827,14.49641772
007870867_0172c17,8.002127167,13.99070827,10.99641772
008028544_0071c17,3.502127167,3.490708266,3.496417716
008039512_0050c17,15.50212717,9.990708266,12.74641772
008093327_0175c17,15.50212717,14.49070827,14.99641772
008116892_0037c17,10.00212717,9.990708266,9.996417716
008272027_0160c17,2.502127167,4.490708266,3.496417716
008371590_0066c17,7.502127167,2.990708266,5.246417716
008577277_0088c17,3.502127167,5.490708266,4.496417716
008826284_0096c17,11.00212717,9.990708266,10.49641772
044383526_0005c17,8.502127167,5.490708266,6.996417716
583000014_0103c17,11.00212717,12.99070827,11.99641772
583000279_0085c17,7.002127167,6.490708266,6.746417716
583000355_0092c17,-0.497872833,-0.009291734,-0.253582284
583000358_0044c17,4.002127167,5.490708266,4.746417716
583000527_0073c17,7.002127167,4.990708266,5.996417716
583000614_0017c17,9.502127167,8.990708266,9.246417716
583001119_0081c17,7.002127167,7.990708266,7.496417716
000050945_0164c17,,,4.887218
