filename,cdrift
000002802_1801070r18.txt,12
000003698_1801018r18.txt,13
000004202_1801097r18.txt,22
000004324_1801122r18.txt,6
000004831_1801086r18.txt,22
000004877_1801080r18.txt,6
000005138_1725198r18.txt,19
000005139_1801108r18.txt,22
000006574_1725121r18.txt,7
000032189_1801099c18.txt,9
000046478_1801053c18.txt,15
000046514_1801112c18.txt,18
000047953_1801149c18.txt,18
000048840_1801073c18.txt,18
000049842_1801075c18.txt,3
000050395_1801081c18.txt,16
000050416_1725157c18.txt,0
000050625_1725026c18.txt,10
000050945_1801030c18.txt,17
000051069_1801056c18.txt,14
000062853_1801148r18.txt,15
000063028_1801041r18.txt,20
000063108_1801012r18.txt,9
000063137_1801134r18.txt,15
000063197_1725120r18.txt,14
000063378_1801096r18.txt,8
000069785_1725165c18.txt,6
000070164_1801034c18.txt,18
000070213_1725047c18.txt,5
000070676_1801014c18.txt,13
000071053_1801110c18.txt,5
000071475_1801052c18.txt,8
000071632_1801140c18.txt,1
000071816_1801116c18.txt,0
000071865_1801020c18.txt,9
000072023_1801049c18.txt,5
000072291_1801062r18.txt,4
007531853_1801102c18.txt,7
007843088_1801132c18.txt,26
008028544_1801127c18.txt,20
008093327_1801063c18.txt,14
008116892_1801001c18.txt,2
008272027_1801024c18.txt,0.5
008517300_1801088c18.txt,12
008577277_1725091c18.txt,6
008826284_1801105c18.txt,28
044383526_1725004c18.txt,11
583000014_1801035c18.txt,5
583000279_1801101c18.txt,22
583000358_1725002c18.txt,15
583000371_1801006c18.txt,13
583000527_1801087c18.txt,4
583000614_1725199c18.txt,8
583001119_1801130c18.txt,17
583001318_1725169c18.txt,9
REF1_1801009c18.txt,32
REF2_1801010c18.txt,34
