season,filename,cdrift_rise,cdrift_set,cdrift_av
2016,NA,,,
2017,000004012_0010r17.txt,3.502127167,2.990708266,3.246417716
2017,000004292_0058r17.txt,6.002127167,10.49070827,8.246417716
2017,000004324_0084r17.txt,11.00212717,9.490708266,10.24641772
2017,000004831_0082r17.txt,17.50212717,12.49070827,14.99641772
2017,000004940_0141r17.txt,14.00212717,11.49070827,12.74641772
2017,000005195_0019r17.txt,10.50212717,9.490708266,9.996417716
2017,000006268_0052r17.txt,3.002127167,4.490708266,3.746417716
2017,000006326_0054r17.txt,7.002127167,10.49070827,8.746417716
2017,000006661_0111r17.txt,8.002127167,5.990708266,6.996417716
2017,000029809_0184r17.txt,6.502127167,8.990708266,7.746417716
2017,000032159_0107c17.txt,0.002127167,-2.009291734,-1.003582284
2017,000032204_0168c17.txt,1.002127167,5.990708266,3.496417716
2017,000046279_0118c17.txt,6.002127167,10.99070827,8.496417716
2017,000046311_0083c17.txt,6.002127167,8.990708266,7.496417716
2017,000046408_0129c17.txt,12.00212717,7.990708266,9.996417716
2017,000046514_0028c17.txt,-0.997872833,-0.009291734,-0.503582284
2017,000046645_0076c17.txt,7.002127167,3.490708266,5.246417716
2017,000047953_0153c17.txt,9.502127167,10.49070827,9.996417716
2017,000048431_0173c17.txt,0.002127167,1.490708266,0.746417716
2017,000048840_0094c17.txt,-2.497872833,1.990708266,-0.253582284
2017,000049842_0104c17.txt,4.502127167,1.990708266,3.246417716
2017,000050171_0013c17.txt,2.002127167,4.990708266,3.496417716
2017,000050416_0158c17.txt,9.002127167,5.990708266,7.496417716
2017,000050625_0112c17.txt,11.50212717,7.490708266,9.496417716
2017,000051053_0174c17.txt,9.002127167,9.490708266,9.246417716
2017,000051069_0167c17.txt,7.502127167,6.490708266,6.996417716
2017,000062029_0064c17.txt,0.002127167,1.490708266,0.746417716
2017,000062155_0031c17.txt,12.00212717,7.990708266,9.996417716
2017,000062335_0190c17.txt,8.502127167,5.990708266,7.246417716
2017,000062853_0143r17.txt,10.50212717,10.49070827,10.49641772
2017,000063012_0095r17.txt,1.502127167,7.490708266,4.496417716
2017,000063108_0022r17.txt,12.00212717,12.49070827,12.24641772
2017,000063363_0079r17.txt,7.002127167,6.990708266,6.996417716
2017,000063378_0021r17.txt,7.002127167,10.49070827,8.746417716
2017,000069757_0115c17.txt,6.002127167,3.490708266,4.746417716
2017,000069785_0108c17.txt,4.002127167,7.490708266,5.746417716
2017,000069936_0131c17.txt,8.002127167,7.990708266,7.996417716
2017,000070164_0029c17.txt,9.502127167,8.490708266,8.996417716
2017,000070213_0018c17.txt,10.00212717,5.490708266,7.746417716
2017,000070449_0056c17.txt,6.502127167,1.990708266,4.246417716
2017,000071053_0136c17.txt,4.502127167,5.490708266,4.996417716
2017,000071164_0119c17.txt,7.002127167,10.49070827,8.746417716
2017,000071373_0183c17.txt,5.002127167,0.990708266,2.996417716
2017,000071475_0179c17.txt,6.002127167,7.490708266,6.746417716
2017,000071816_0077c17.txt,11.26879383,12.25737493,11.76308438
2017,000071817_0059c17.txt,6.002127167,3.990708266,4.996417716
2017,000072291_0150r17.txt,7.502127167,3.990708266,5.746417716
2017,007056628_0197c17.txt,9.002127167,13.49070827,11.24641772
2017,007531853_0057c17.txt,8.502127167,11.99070827,10.24641772
2017,007554608_0187c17.txt,15.00212717,13.99070827,14.49641772
2017,007870867_0172c17.txt,8.002127167,13.99070827,10.99641772
2017,008028544_0071c17.txt,3.502127167,3.490708266,3.496417716
2017,008039512_0050c17.txt,15.50212717,9.990708266,12.74641772
2017,008093327_0175c17.txt,15.50212717,14.49070827,14.99641772
2017,008116892_0037c17.txt,10.00212717,9.990708266,9.996417716
2017,008272027_0160c17.txt,2.502127167,4.490708266,3.496417716
2017,008371590_0066c17.txt,7.502127167,2.990708266,5.246417716
2017,008577277_0088c17.txt,3.502127167,5.490708266,4.496417716
2017,008826284_0096c17.txt,11.00212717,9.990708266,10.49641772
2017,044383526_0005c17.txt,8.502127167,5.490708266,6.996417716
2017,583000014_0103c17.txt,11.00212717,12.99070827,11.99641772
2017,583000279_0085c17.txt,7.002127167,6.490708266,6.746417716
2017,583000355_0092c17.txt,-0.497872833,-0.009291734,-0.253582284
2017,583000358_0044c17.txt,4.002127167,5.490708266,4.746417716
2017,583000527_0073c17.txt,7.002127167,4.990708266,5.996417716
2017,583000614_0017c17.txt,9.502127167,8.990708266,9.246417716
2017,583001119_0081c17.txt,7.002127167,7.990708266,7.496417716
2017,000050945_0164c17.txt,NA,NA,4.887218
2018,000002802_1801070r18.txt,NA,NA,12
2018,000003698_1801018r18.txt,NA,NA,13
2018,000004202_1801097r18.txt,NA,NA,22
2018,000004324_1801122r18.txt,NA,NA,6
2018,000004831_1801086r18.txt,NA,NA,22
2018,000004877_1801080r18.txt,NA,NA,6
2018,000005138_1725198r18.txt,NA,NA,19
2018,000005139_1801108r18.txt,NA,NA,22
2018,000006574_1725121r18.txt,NA,NA,7
2018,000032189_1801099c18.txt,NA,NA,9
2018,000046478_1801053c18.txt,NA,NA,15
2018,000046514_1801112c18.txt,NA,NA,18
2018,000047953_1801149c18.txt,NA,NA,18
2018,000048840_1801073c18.txt,NA,NA,18
2018,000049842_1801075c18.txt,NA,NA,3
2018,000050395_1801081c18.txt,NA,NA,16
2018,000050416_1725157c18.txt,NA,NA,0
2018,000050625_1725026c18.txt,NA,NA,10
2018,000050945_1801030c18.txt,NA,NA,17
2018,000051069_1801056c18.txt,NA,NA,14
2018,000062853_1801148r18.txt,NA,NA,15
2018,000063028_1801041r18.txt,NA,NA,20
2018,000063108_1801012r18.txt,NA,NA,9
2018,000063137_1801134r18.txt,NA,NA,15
2018,000063197_1725120r18.txt,NA,NA,14
2018,000063378_1801096r18.txt,NA,NA,8
2018,000069785_1725165c18.txt,NA,NA,6
2018,000070164_1801034c18.txt,NA,NA,18
2018,000070213_1725047c18.txt,NA,NA,5
2018,000070676_1801014c18.txt,NA,NA,13
2018,000071053_1801110c18.txt,NA,NA,5
2018,000071475_1801052c18.txt,NA,NA,8
2018,000071632_1801140c18.txt,NA,NA,1
2018,000071816_1801116c18.txt,NA,NA,0
2018,000071865_1801020c18.txt,NA,NA,9
2018,000072023_1801049c18.txt,NA,NA,5
2018,000072291_1801062r18.txt,NA,NA,4
2018,007531853_1801102c18.txt,NA,NA,7
2018,007843088_1801132c18.txt,NA,NA,26
2018,008028544_1801127c18.txt,NA,NA,20
2018,008093327_1801063c18.txt,NA,NA,14
2018,008116892_1801001c18.txt,NA,NA,2
2018,008272027_1801024c18.txt,NA,NA,0.5
2018,008517300_1801088c18.txt,NA,NA,12
2018,008577277_1725091c18.txt,NA,NA,6
2018,008826284_1801105c18.txt,NA,NA,28
2018,044383526_1725004c18.txt,NA,NA,11
2018,583000014_1801035c18.txt,NA,NA,5
2018,583000279_1801101c18.txt,NA,NA,22
2018,583000358_1725002c18.txt,NA,NA,15
2018,583000371_1801006c18.txt,NA,NA,13
2018,583000527_1801087c18.txt,NA,NA,4
2018,583000614_1725199c18.txt,NA,NA,8
2018,583001119_1801130c18.txt,NA,NA,17
2018,583001318_1725169c18.txt,NA,NA,9
2018,REF1_1801009c18.txt,NA,NA,32
2018,REF2_1801010c18.txt,NA,NA,34
